FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206;NUM_TRANSACTIONS_202201;NUM_TRANSACTIONS_202202;NUM_TRANSACTIONS_202203;NUM_TRANSACTIONS_202204;NUM_TRANSACTIONS_202205;NUM_TRANSACTIONS_202206
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;10;24;48;6;8;8;10;6;4;0;0;0;0;0;0;0;0;0;10;0;0;6;10;6;6;4;4;112;104;50;86;112;122;4;4;3;5;4;4;128;128;64;122;146;178
1;1;1;1;1;1;0;0;0;0;0;0;4;2;2;4;2;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;4;2;2;4;6;4
1;1;1;1;1;1;0;0;0;0;0;0;4;4;4;4;4;4;0;0;0;0;0;0;8;4;8;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;4;0;80;40;40;64;64;36;4;3;4;2;4;3;100;48;60;68;76;44
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;14;8;0;2;10;2;10;12;10;8;2;0;0;0;0;0;0;0;0;0;0;0;10;2;2;0;2;0;28;34;46;46;60;70;5;4;4;3;3;3;52;42;72;66;72;80
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;4;4;4;4;4;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;6;10;16;14;16;32;4;3;3;4;4;4;14;16;22;22;24;42
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;4;14;24;20;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;6;4;14;24;20;12
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;44;108;32;40;60;2;1;3;2;1;1;56;44;128;44;40;60
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;4;0;0;0;0;2;4;0;4;4;4;4;2;4;22;32;62;58;78;70;3;2;2;4;4;2;28;36;66;70;88;74
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14;7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;105;126;140;98;119;119;3;2;2;1;1;1;126;133;154;98;119;119
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;44;56;16;16;16;16;0;16;0;4;0;12;0;0;0;0;0;0;0;0;0;4;0;0;8;20;8;0;8;8;68;108;12;28;28;44;3;4;3;4;3;4;120;200;36;52;52;80
