FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206;NUM_TRANSACTIONS_202201;NUM_TRANSACTIONS_202202;NUM_TRANSACTIONS_202203;NUM_TRANSACTIONS_202204;NUM_TRANSACTIONS_202205;NUM_TRANSACTIONS_202206
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;8;4;0;0;0;0;0;0;0;0;0;0;0;0;12;4;8;12;12;4;12;12;20;12;4;8;2;2;3;3;3;3;24;16;40;32;24;16
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;6;12;12;10;24;12;2;34;2;3;1;2;3;3;14;16;24;16;18;48
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;6;10;14;18;14;32;16;28;84;58;46;86;2;2;3;3;2;4;22;38;100;78;60;126
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;48;20;28;8;16;20;2;3;1;2;2;1;50;24;28;10;20;20
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;8;0;8;8;0;0;0;0;0;0;4;0;4;4;24;16;0;0;8;4;0;4;12;16;12;24;20;28;3;2;4;3;3;4;20;24;32;32;52;56
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;2;10;8;4;6;6;8;6;10;8;8;0;0;0;0;0;0;0;6;2;0;2;0;4;12;4;6;8;8;106;62;68;138;114;44;4;5;5;4;5;4;122;90;90;162;136;66
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;18;12;0;6;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;0;18;24;18;36;96;48;48;66;3;3;2;1;3;4;36;60;108;48;72;102
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;6;3;6;3;6;0;0;0;0;0;0;3;6;6;6;9;6;3;0;0;0;6;0;24;21;36;30;27;18;4;3;3;3;5;4;33;33;45;42;48;33
1;1;1;1;1;1;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;20;6;2;0;4;6;4;8;6;4;4;34;32;32;22;12;26;4;4;3;4;3;5;54;58;46;32;18;38
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;20;12;8;24;8;0;0;0;0;0;0;4;4;8;4;8;8;20;16;20;32;36;44;80;76;88;84;80;56;4;4;4;4;4;5;112;116;128;128;148;120
