FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206;NUM_TRANSACTIONS_202201;NUM_TRANSACTIONS_202202;NUM_TRANSACTIONS_202203;NUM_TRANSACTIONS_202204;NUM_TRANSACTIONS_202205;NUM_TRANSACTIONS_202206
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;4;2;0;0;2;0;0;0;0;4;2;4;6;0;2;6;4;2;2;2;2;24;16;62;30;28;14;3;4;4;5;3;3;34;24;72;44;32;18
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;4;12;4;12;4;16;8;0;0;0;0;0;0;0;0;0;0;0;4;8;0;4;4;8;4;4;4;72;32;76;48;4;2;3;4;3;5;28;8;88;44;100;68
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;16;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;6;4;28;14;4;12;10;24;3;1;3;3;3;3;32;14;8;18;32;30
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;6;4;4;6;0;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;12;10;10;14;10;18;4;2;4;4;4;4;32;12;20;26;18;26
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;0;8;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;12;16;16;20;3;1;2;1;1;2;20;4;20;16;16;24
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;14;10;10;6;0;0;2;0;0;2;0;0;0;0;0;0;2;2;4;0;4;4;6;0;30;6;6;10;2;3;5;2;4;4;8;6;52;16;22;22
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;2;0;10;4;4;4;6;8;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;8;14;10;20;20;14;4;4;4;4;4;3;24;24;22;32;32;26
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;12;14;2;4;14;0;4;2;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;24;26;28;22;32;42;2;4;4;3;3;3;26;44;46;30;40;58
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;16;48;4;4;0;2;1;2;1;1;0;68;16;52;4;4;0
1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;4;2;16;18;14;14;6;10;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;16;14;18;22;10;12;4;4;3;3;4;4;36;36;34;38;22;26
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4;4;12;12;4;8;0;4;0;12;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;8;0;0;124;48;60;60;20;64;2;4;3;4;2;3;136;76;68;84;24;72
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;18;12;14;6;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;0;2;6;14;12;8;8;3;3;3;4;4;2;12;18;22;34;24;22
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;4;8;2;6;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;1;1;4;2;12;10;2;4;14;4
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;28;4;20;4;0;0;0;0;0;0;0;0;0;0;0;0;48;12;40;28;32;32;116;108;124;112;124;124;3;3;3;3;3;3;172;128;192;144;176;160
1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;2;2;26;18;28;6;10;14;8;6;2;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;2;4;8;46;56;44;48;54;62;5;4;5;5;5;5;86;82;90;60;72;92
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;6;27;9;0;3;3;3;6;0;0;0;0;3;0;0;12;0;0;0;3;0;12;9;3;12;6;3;24;9;21;30;48;33;4;4;4;5;5;3;54;24;30;54;90;45
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;4;2;2;0;0;0;0;0;4;0;0;14;2;4;2;10;34;60;60;42;108;64;70;3;4;3;4;3;2;78;68;48;116;76;104
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;6;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;54;28;36;8;34;30;3;2;3;2;2;2;64;34;44;10;38;34
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;8;12;2;4;0;14;18;16;42;14;16;0;0;0;0;0;2;0;0;14;2;2;2;2;2;2;2;0;2;20;22;10;18;12;14;4;4;5;5;4;5;46;50;54;66;32;36
1;1;1;1;1;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;6;20;12;44;54;42;2;3;3;3;3;1;8;24;16;54;58;42
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4;8;4;10;4;0;4;2;4;2;6;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;2;4;2;6;14;20;12;18;12;3;4;5;4;4;5;12;24;34;22;34;26
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;8;2;4;24;36;42;16;26;30;4;3;3;3;3;5;32;46;46;26;30;40
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;44;16;8;4;20;4;12;0;8;0;12;4;0;0;0;0;0;0;0;0;0;0;0;0;64;48;24;8;12;16;68;24;52;40;80;44;4;3;4;3;4;4;188;88;92;52;124;68
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;8;2;42;26;30;52;70;46;3;3;2;4;4;4;48;30;36;60;84;52
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;32;0;0;8;0;0;4;0;0;0;0;0;0;0;0;0;12;16;32;32;48;28;100;36;100;116;84;92;2;2;4;3;2;3;112;52;168;152;132;128
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;8;10;2;0;0;0;0;0;0;6;8;8;10;10;8;6;8;2;4;2;2;14;10;8;34;4;8;4;4;4;4;4;4;28;32;20;56;26;20
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;2;2;2;2;4;6;6;6;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;4;2;6;20;18;8;28;30;4;3;4;4;4;4;12;32;32;18;40;40
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;2;5;12;4;3;8;7;4;6;4;3;4;3;9;19;7;5;11;10
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;8;8;12;24;24;64;84;44;1;3;2;3;2;2;12;44;28;84;92;52
1;1;1;1;1;1;0;0;0;0;0;0;4;0;0;0;0;0;52;32;28;28;0;8;4;4;12;8;4;4;0;0;0;0;0;0;0;0;0;0;8;8;4;4;4;8;0;8;52;100;72;84;36;20;5;4;4;4;3;5;116;140;116;128;48;48
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;36;18;30;18;15;21;0;3;6;15;15;3;0;0;0;0;0;0;15;21;21;9;18;27;15;18;33;33;33;21;39;60;45;57;78;75;4;5;5;5;5;5;105;120;135;132;159;147
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;20;8;14;4;8;4;2;12;14;4;6;0;0;0;4;0;0;0;0;0;4;18;6;4;6;8;6;6;8;36;40;42;26;34;34;4;4;4;6;5;5;50;68;70;68;66;62
1;1;1;1;1;1;0;0;0;0;0;0;4;4;4;4;4;0;0;0;0;8;0;0;4;4;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;8;4;0;0;28;24;36;20;12;8;3;4;4;5;2;1;36;52;56;40;16;8
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;8;4;8;6;2;6;6;8;6;12;2;0;0;0;0;0;0;0;0;0;0;0;0;24;22;12;26;26;18;40;24;32;60;56;48;4;4;4;4;4;4;82;60;56;100;100;70
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;12;6;6;4;2;3;1;2;3;1;2;14;12;8;10;4;4
1;1;1;1;1;1;0;0;0;0;0;0;0;4;4;0;4;4;0;0;0;0;0;0;4;4;4;12;2;6;0;0;2;2;0;0;0;42;10;0;0;0;6;6;8;14;2;6;48;68;102;62;56;50;3;5;6;4;4;4;58;124;130;90;64;66
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;6;12;4;4;2;2;10;4;0;2;4;0;8;4;0;0;0;2;0;0;4;8;2;0;2;4;4;30;26;10;26;56;3;5;5;4;5;5;12;46;40;18;52;80
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;18;20;6;4;8;34;3;3;3;2;1;2;22;28;12;6;8;38
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;10;12;4;6;6;6;4;6;4;0;0;0;0;0;0;2;0;0;2;8;4;6;8;10;6;10;6;2;2;6;2;2;6;5;3;4;5;5;5;22;16;24;24;38;24
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;0;8;2;44;42;22;22;26;28;3;3;2;2;3;2;56;54;32;24;36;30
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;0;8;4;8;8;4;0;4;4;4;0;4;0;4;0;8;24;24;4;12;4;32;16;16;0;8;0;156;76;60;32;60;48;5;5;6;2;6;4;208;140;120;36;96;60
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;4;0;4;4;2;2;8;0;0;0;0;0;0;2;0;4;4;6;4;0;0;2;0;0;0;12;10;8;8;20;12;3;3;4;4;4;4;18;16;18;16;30;28
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;4;2;2;8;12;6;10;4;1;2;2;3;4;2;2;10;14;10;18;6
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;2;0;2;2;2;4;4;0;0;0;0;0;0;2;10;6;2;4;20;0;0;0;4;2;6;6;22;8;16;18;26;2;4;4;5;4;5;8;42;20;26;28;58
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;8;10;10;8;4;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;6;2;0;0;0;0;2;6;10;4;24;14;20;16;3;3;3;2;4;5;16;14;36;24;36;30
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;4;4;12;8;4;8;4;0;0;0;0;0;0;0;0;0;0;0;40;80;28;16;12;8;32;52;28;100;136;84;4;3;3;4;4;4;80;136;68;132;156;104
1;1;1;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;8;2;0;2;4;4;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;30;6;16;14;12;3;3;3;3;3;2;14;36;14;26;22;14
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;10;8;4;6;2;2;2;2;4;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;4;4;2;2;2;28;52;48;34;48;34;4;4;4;5;4;4;44;68;62;46;58;42
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;24;6;12;12;12;18;0;0;0;0;0;6;12;0;12;24;18;12;2;2;2;2;2;3;36;12;24;36;30;36
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;20;8;6;12;4;4;0;2;2;2;4;0;0;0;0;0;2;0;0;0;0;0;0;6;4;20;4;6;6;46;50;72;90;66;50;4;3;4;4;4;5;58;74;102;102;86;66
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;4;4;12;20;0;0;8;0;8;4;0;16;4;8;0;0;0;0;0;0;24;56;8;20;24;12;8;0;0;0;0;0;20;64;12;44;44;60;5;4;2;3;5;4;72;144;20;80;84;84
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;25;15;10;30;25;5;10;15;15;25;15;15;0;0;0;0;0;0;0;0;0;0;0;0;15;10;10;5;5;5;35;45;40;80;75;50;4;4;4;4;4;4;85;85;75;140;120;75
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;4;0;4;16;6;6;6;8;6;2;1;2;2;3;2;22;6;10;10;12;10
1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;0;0;14;18;16;22;24;18;2;10;0;0;0;2;0;0;0;2;0;0;4;2;0;0;0;0;10;12;10;8;14;12;10;8;18;16;38;24;6;6;4;5;3;4;42;52;46;50;76;56
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;6;10;4;0;0;0;10;6;4;0;2;0;0;0;0;12;30;4;18;22;2;2;2;0;2;2;0;32;38;28;60;64;38;4;5;2;5;5;4;54;74;32;96;104;48
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;10;10;8;10;16;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;4;4;24;24;6;30;46;30;3;3;4;4;3;3;30;36;24;44;60;50
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;0;4;8;4;6;2;6;4;0;0;0;0;0;0;0;6;8;0;8;4;10;2;4;0;2;0;54;62;88;60;50;46;4;5;5;2;4;4;78;78;108;62;66;58
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;4;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;4;4;16;8;4;18;20;38;3;2;3;4;4;2;24;12;10;30;30;42
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;6;12;14;18;8;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;6;4;4;2;0;12;14;16;12;4;2;4;4;4;3;10;10;30;36;42;24
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;8;18;16;28;4;8;3;2;2;3;2;2;12;20;18;34;6;10
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;4;4;8;8;0;0;8;0;8;0;0;0;0;0;0;12;8;12;0;0;4;8;0;0;0;0;0;52;40;52;44;28;36;5;3;3;3;2;4;88;52;68;56;32;56
