FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206;NUM_TRANSACTIONS_202201;NUM_TRANSACTIONS_202202;NUM_TRANSACTIONS_202203;NUM_TRANSACTIONS_202204;NUM_TRANSACTIONS_202205;NUM_TRANSACTIONS_202206
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;14;10;8;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;8;20;28;40;32;2;2;2;2;2;2;34;22;30;36;46;40
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;66;38;42;24;14;2;2;2;2;1;1;62;68;44;44;24;14
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;12;24;18;12;6;36;30;12;54;0;12;18;36;0;30;0;0;6;6;6;6;6;6;72;18;54;72;12;36;232;352;328;296;400;296;6;6;5;6;4;5;370;454;424;476;430;356
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;10;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;2;0;20;32;20;10;12;2;3;3;2;3;3;10;30;44;24;14;16
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;36;24;18;24;30;18;1;2;3;2;2;3;36;32;22;26;36;28
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;4;0;4;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;2;2;40;32;36;46;22;44;2;3;3;2;2;3;42;36;46;50;24;50
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;12;2;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;8;12;22;26;6;10;2;3;2;3;3;2;10;18;26;38;12;22
1;1;1;1;1;1;0;0;0;0;0;0;4;2;2;4;2;2;4;0;0;0;0;0;6;6;2;2;0;0;0;0;0;0;0;0;46;2;0;0;0;0;12;10;2;0;0;0;126;74;54;80;42;60;6;5;4;3;2;2;198;94;60;86;44;62
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;6;4;2;8;6;6;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;2;0;16;14;34;14;16;16;4;3;4;3;3;3;32;20;40;24;24;24
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;24;36;22;14;1;1;1;1;2;1;4;6;24;36;24;14
