FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206;NUM_TRANSACTIONS_202201;NUM_TRANSACTIONS_202202;NUM_TRANSACTIONS_202203;NUM_TRANSACTIONS_202204;NUM_TRANSACTIONS_202205;NUM_TRANSACTIONS_202206
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;30;54;36;36;18;0;0;0;0;0;0;0;0;0;0;0;0;48;36;48;30;42;36;60;30;80;50;80;100;3;3;3;3;3;3;150;96;182;116;158;154
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;6;2;4;48;34;16;30;1;2;2;3;3;4;2;6;58;40;20;46
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;0;8;12;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;12;4;8;16;24;84;84;112;40;48;2;2;3;4;3;3;28;88;100;128;60;68
1;1;1;1;1;1;0;0;0;0;0;0;4;0;2;2;6;4;2;6;4;10;4;6;6;2;6;8;4;10;0;2;0;0;0;0;12;16;8;0;8;4;10;16;8;14;4;8;32;24;24;22;16;22;6;6;6;5;6;6;66;66;52;56;42;54
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14;2;2;0;4;4;6;0;10;4;10;6;0;0;0;0;0;0;4;0;4;0;2;0;0;0;4;6;10;2;14;6;14;4;8;4;4;2;5;3;5;4;38;8;34;14;34;16
1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;2;2;0;2;2;2;2;2;0;2;8;10;14;16;0;0;0;0;0;0;0;0;0;0;0;0;8;12;8;14;10;8;30;42;54;48;44;42;3;5;5;5;5;5;40;60;74;76;72;70
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;4;24;16;12;16;28;44;3;2;2;2;1;2;40;28;16;24;28;48
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;6;0;0;2;0;2;0;0;2;0;0;2;0;2;4;10;2;2;2;2;20;52;24;60;20;28;3;3;4;4;3;3;26;64;30;66;28;32
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;54;80;100;60;40;42;2;2;3;2;2;3;56;82;106;64;44;48
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;16;8;16;8;12;8;20;24;20;20;20;16;0;0;0;0;0;0;0;0;0;0;0;0;24;24;24;8;20;20;28;36;80;80;48;68;4;4;4;4;4;4;88;92;140;116;100;112
