FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206;DEEP_CHANNELS_202201;DEEP_CHANNELS_202202;DEEP_CHANNELS_202203;DEEP_CHANNELS_202204;DEEP_CHANNELS_202205;DEEP_CHANNELS_202206;DEEP_CARDS_202201;DEEP_CARDS_202202;DEEP_CARDS_202203;DEEP_CARDS_202204;DEEP_CARDS_202205;DEEP_CARDS_202206;DEEP_CHECKING_202201;DEEP_CHECKING_202202;DEEP_CHECKING_202203;DEEP_CHECKING_202204;DEEP_CHECKING_202205;DEEP_CHECKING_202206;DEEP_BILLS_202201;DEEP_BILLS_202202;DEEP_BILLS_202203;DEEP_BILLS_202204;DEEP_BILLS_202205;DEEP_BILLS_202206;DEEP_CREDIT_202201;DEEP_CREDIT_202202;DEEP_CREDIT_202203;DEEP_CREDIT_202204;DEEP_CREDIT_202205;DEEP_CREDIT_202206;DEEP_INVESTMENTS_202201;DEEP_INVESTMENTS_202202;DEEP_INVESTMENTS_202203;DEEP_INVESTMENTS_202204;DEEP_INVESTMENTS_202205;DEEP_INVESTMENTS_202206;DEEP_PAYMENTS_202201;DEEP_PAYMENTS_202202;DEEP_PAYMENTS_202203;DEEP_PAYMENTS_202204;DEEP_PAYMENTS_202205;DEEP_PAYMENTS_202206;DEEP_PIX_202201;DEEP_PIX_202202;DEEP_PIX_202203;DEEP_PIX_202204;DEEP_PIX_202205;DEEP_PIX_202206;AMP_202201;AMP_202202;AMP_202203;AMP_202204;AMP_202205;AMP_202206;NUM_TRANSACTIONS_202201;NUM_TRANSACTIONS_202202;NUM_TRANSACTIONS_202203;NUM_TRANSACTIONS_202204;NUM_TRANSACTIONS_202205;NUM_TRANSACTIONS_202206
1;1;1;1;1;1;0;0;0;0;0;0;3;0;6;0;3;3;6;9;9;18;3;9;42;21;12;36;36;36;3;0;0;0;0;3;0;0;3;0;0;0;51;39;72;84;36;54;78;24;108;204;105;174;6;4;6;4;5;6;183;93;210;342;183;279
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;12;18;16;16;16;0;0;0;0;0;0;0;0;0;0;0;0;12;10;10;12;10;8;8;8;20;10;16;10;3;3;4;3;3;3;28;30;50;38;42;34
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;8;12;4;2;14;38;3;2;3;1;1;1;12;14;12;2;14;38
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;30;40;38;10;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2;0;2;0;2;2;0;0;0;0;32;42;50;34;0;0;4;4;3;2;2;0;44;84;92;72;12;0
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;4;0;10;2;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;12;20;2;4;6;6;4;2;2;3;3;3;20;24;4;16;10;12
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;6;4;4;24;18;30;28;32;58;4;3;3;4;3;3;32;30;38;38;40;64
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;4;8;6;4;4;4;2;0;10;4;0;0;0;0;2;2;0;0;4;12;22;2;32;16;14;6;8;2;10;58;58;36;36;26;42;4;5;4;6;6;4;86;82;62;84;40;88
1;1;1;1;1;1;0;0;0;0;0;0;2;4;2;2;2;2;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;18;14;12;16;24;18;16;28;44;18;22;24;5;4;3;3;4;3;40;48;58;36;50;44
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;16;10;12;2;6;0;10;8;18;6;2;4;0;0;0;0;0;0;0;8;2;0;0;8;38;14;56;16;4;12;48;64;60;32;16;56;4;5;5;4;4;4;112;104;148;56;28;80
1;1;1;1;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;6;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;8;10;8;10;4;4;4;2;1;2;2;2;18;12;8;16;6;6
