oid_usuario;oid_conta;num_conta;nom_transacao;NUM_ANO_MES;qtd_transacao
3320305;3178294;11088;Convênios;202204;8
3320305;3178294;11088;Cartões;202202;4
6496555;6060161;20206;Convênios;202204;4
2446153;2380911;10669;Pagamentos;202205;12
5897450;5541060;18538;Investimentos;202204;24
6984519;6476217;22470;Cartões;202205;2
4457310;4257212;15083;Pagamentos;202205;2
1545154;1552922;3247;Conta Corrente;202202;2
6496555;6060161;20206;Pagamentos;202205;14
1576284;1581684;5185;Conta Corrente;202202;4
1576284;1581684;5185;Cartões;202202;2
7020722;6506372;14982;Conta Corrente;202204;16
3320305;3178294;11088;Conta Corrente;202206;4
6282849;5875256;19569;PIX;202201;16
6282849;5875256;19569;PIX;202206;30
6282849;5875256;19569;PIX;202204;22
6282849;5875256;19569;PIX;202202;42
1545154;1552922;3247;PIX;202205;36
1545154;1552922;3247;PIX;202202;20
3320305;3178294;11088;PIX;202203;160
5897450;5541060;18538;PIX;202203;300
5897450;5541060;18538;PIX;202201;36
5938122;5576591;18627;PIX;202204;6
1576284;1581684;5185;PIX;202201;232
6496555;6060161;20206;PIX;202206;30
6496555;6060161;20206;PIX;202202;38
1538211;1546489;2640;PIX;202205;2
6708535;6241759;21024;PIX;202202;16
2446153;2380911;10669;PIX;202205;72
3412900;3269559;12815;PIX;202204;48
2542840;2471690;9458;PIX;202205;20
6555009;6110182;20443;PIX;202205;2
1654298;1647668;230;PIX;202203;2
6282849;5875256;19569;PIX;202205;40
3320305;3178294;11088;PIX;202204;100
6984519;6476217;22470;PIX;202202;2
6984519;6476217;22470;PIX;202204;4
6984519;6476217;22470;PIX;202206;8
6984519;6476217;22470;PIX;202205;2
2542840;2471690;9458;PIX;202204;26
1576284;1581684;5185;PIX;202204;338
2017664;1986030;205;Crédito;202201;4
1576284;1581684;5185;Cartões;202206;4
6770212;6294242;21245;Pagamentos;202203;36
7020722;6506372;14982;Pagamentos;202203;4
6282849;5875256;19569;Crédito;202202;2
2446153;2380911;10669;Pagamentos;202206;12
6282849;5875256;19569;Convênios;202205;2
5897450;5541060;18538;Convênios;202204;12
6496555;6060161;20206;Pagamentos;202206;14
1576284;1581684;5185;Convênios;202203;8
6496555;6060161;20206;Pagamentos;202203;16
2542840;2471690;9458;Conta Corrente;202201;1
6984519;6476217;22470;Pagamentos;202202;14
3320305;3178294;11088;Convênios;202206;8
3320305;3178294;11088;Cartões;202204;4
3412900;3269559;12815;Cartões;202203;6
1545154;1552922;3247;Pagamentos;202202;14
5897450;5541060;18538;Investimentos;202205;48
3320305;3178294;11088;Conta Corrente;202202;4
2542840;2471690;9458;Conta Corrente;202205;1
5897450;5541060;18538;Pagamentos;202205;12
1545154;1552922;3247;Pagamentos;202205;22
1576284;1581684;5185;Pagamentos;202201;46
2542840;2471690;9458;Convênios;202205;1
2542840;2471690;9458;Pagamentos;202201;3
1576284;1581684;5185;Pagamentos;202206;32
5897450;5541060;18538;Investimentos;202203;72
5897450;5541060;18538;Pagamentos;202201;24
7020722;6506372;14982;Conta Corrente;202206;4
6984519;6476217;22470;Convênios;202201;4
5897450;5541060;18538;Convênios;202203;24
7020722;6506372;14982;Pagamentos;202201;4
2542840;2471690;9458;Conta Corrente;202206;1
7020722;6506372;14982;Cartões;202202;2
1576284;1581684;5185;Cartões;202204;4
4457310;4257212;15083;Pagamentos;202202;2
6496555;6060161;20206;Convênios;202205;2
7020722;6506372;14982;Pagamentos;202204;2
6496555;6060161;20206;Pagamentos;202202;16
7020722;6506372;14982;Investimentos;202202;2
2542840;2471690;9458;Pagamentos;202203;5
4457310;4257212;15083;Convênios;202206;4
6282849;5875256;19569;Pagamentos;202201;14
6984519;6476217;22470;Pagamentos;202203;16
7020722;6506372;14982;Pagamentos;202206;4
6984519;6476217;22470;Convênios;202203;2
3320305;3178294;11088;Convênios;202203;8
4457310;4257212;15083;Convênios;202202;4
6984519;6476217;22470;Cartões;202203;4
7020722;6506372;14982;Cartões;202205;2
2017664;1986030;205;Crédito;202202;8
6984519;6476217;22470;Convênios;202202;2
4457310;4257212;15083;Convênios;202204;4
3785608;3607993;13250;PIX;202204;34
4457310;4257212;15083;PIX;202201;16
6708535;6241759;21024;PIX;202206;4
1538211;1546489;2640;PIX;202206;2
3412900;3269559;12815;PIX;202205;60
2446153;2380911;10669;PIX;202203;52
6770212;6294242;21245;PIX;202203;20
6770212;6294242;21245;PIX;202206;40
2017664;1986030;205;PIX;202205;8
2017664;1986030;205;PIX;202202;8
7020722;6506372;14982;PIX;202202;34
6555009;6110182;20443;PIX;202204;2
7020722;6506372;14982;PIX;202203;20
6496555;6060161;20206;PIX;202204;46
1545154;1552922;3247;PIX;202203;28
7020722;6506372;14982;PIX;202206;28
7020722;6506372;14982;PIX;202205;30
2446153;2380911;10669;PIX;202201;40
2542840;2471690;9458;PIX;202201;22
2542840;2471690;9458;PIX;202202;19
1545154;1552922;3247;PIX;202201;34
3320305;3178294;11088;PIX;202205;116
3320305;3178294;11088;PIX;202202;64
5897450;5541060;18538;PIX;202205;48
5897450;5541060;18538;PIX;202202;84
4457310;4257212;15083;PIX;202205;16
1654298;1647668;230;PIX;202204;2
1576284;1581684;5185;PIX;202206;256
5777766;5435962;18147;PIX;202206;4
6282849;5875256;19569;Pagamentos;202205;16
1576284;1581684;5185;Cartões;202203;6
1576284;1581684;5185;Cartões;202201;2
1576284;1581684;5185;Pagamentos;202202;48
1545154;1552922;3247;Pagamentos;202204;12
2542840;2471690;9458;Pagamentos;202204;5
6770212;6294242;21245;Pagamentos;202202;20
6770212;6294242;21245;Pagamentos;202206;16
7020722;6506372;14982;Pagamentos;202205;8
3320305;3178294;11088;Pagamentos;202204;12
2542840;2471690;9458;Convênios;202206;1
7020722;6506372;14982;Convênios;202202;2
2017664;1986030;205;Crédito;202205;4
6282849;5875256;19569;Crédito;202205;2
6708535;6241759;21024;Pagamentos;202203;2
6984519;6476217;22470;Pagamentos;202205;10
6496555;6060161;20206;Convênios;202202;4
6708535;6241759;21024;Pagamentos;202206;2
6282849;5875256;19569;Pagamentos;202203;10
6984519;6476217;22470;Conta Corrente;202202;4
1545154;1552922;3247;Pagamentos;202201;18
5897450;5541060;18538;Pagamentos;202204;24
7020722;6506372;14982;Cartões;202206;2
3412900;3269559;12815;Cartões;202204;6
3412900;3269559;12815;Cartões;202206;6
6770212;6294242;21245;Convênios;202205;24
1576284;1581684;5185;Pagamentos;202205;62
1545154;1552922;3247;Convênios;202201;2
6282849;5875256;19569;Convênios;202206;6
6496555;6060161;20206;Convênios;202201;4
6770212;6294242;21245;Convênios;202206;16
7020722;6506372;14982;Convênios;202205;8
2446153;2380911;10669;Pagamentos;202202;12
6282849;5875256;19569;Pagamentos;202206;12
6282849;5875256;19569;Crédito;202204;2
5897450;5541060;18538;Investimentos;202202;48
6282849;5875256;19569;Pagamentos;202202;10
6984519;6476217;22470;Cartões;202202;2
1576284;1581684;5185;Conta Corrente;202201;6
7020722;6506372;14982;Convênios;202204;4
1576284;1581684;5185;Convênios;202201;4
3320305;3178294;11088;Cartões;202205;4
6984519;6476217;22470;Cartões;202201;2
3320305;3178294;11088;Convênios;202202;4
4457310;4257212;15083;Pagamentos;202203;2
2446153;2380911;10669;Pagamentos;202201;8
6282849;5875256;19569;Crédito;202201;2
6984519;6476217;22470;Conta Corrente;202203;2
2542840;2471690;9458;Conta Corrente;202203;1
2017664;1986030;205;PIX;202201;8
2017664;1986030;205;PIX;202206;4
6708535;6241759;21024;PIX;202203;10
2446153;2380911;10669;PIX;202206;60
6282849;5875256;19569;PIX;202203;34
3320305;3178294;11088;PIX;202206;152
3320305;3178294;11088;PIX;202201;108
6708535;6241759;21024;PIX;202205;13
6496555;6060161;20206;PIX;202201;26
5777766;5435962;18147;PIX;202203;2
6708535;6241759;21024;PIX;202201;5
6708535;6241759;21024;PIX;202204;13
1654298;1647668;230;PIX;202201;2
7020722;6506372;14982;PIX;202201;14
3412900;3269559;12815;PIX;202203;18
2446153;2380911;10669;PIX;202204;88
1558931;1565764;4820;PIX;202206;2
2542840;2471690;9458;PIX;202203;13
2542840;2471690;9458;PIX;202206;17
1576284;1581684;5185;PIX;202203;248
6770212;6294242;21245;PIX;202202;20
6770212;6294242;21245;PIX;202204;44
7059916;6540029;22233;Convênios;202205;12
2481603;2413503;6009;Pagamentos;202206;12
6521014;6081070;20273;Investimentos;202202;12
7160283;6625106;23264;Pagamentos;202201;6
7059916;6540029;22233;Pagamentos;202204;12
3039919;2927036;12270;Convênios;202204;2
7059916;6540029;22233;Conta Corrente;202202;24
7059916;6540029;22233;Pagamentos;202205;12
1502071;1512992;2267;Crédito;202206;2
1501363;1512350;1708;Pagamentos;202204;6
2481603;2413503;6009;Convênios;202204;3
3039919;2927036;12270;Convênios;202206;2
6521014;6081070;20273;Investimentos;202201;12
6521014;6081070;20273;Investimentos;202205;12
7059916;6540029;22233;Convênios;202201;8
